Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
ASUS Vivobook 15 i3 12th1215U - (16 GB/512 GB /dows 11 Home) X1502ZAEJ993WS i...,424.875,16.0,Core i3,X1502ZA-EJ993WS,ASUS,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-02
HP Victus AI Powered 7 Octa7840HS - (16 GB/512 GB /dows 11 Home/6 GB /NV...,986.25,16.0,Ryzen 7 Octa Core,16-s0095AX,HP,NVIDIA GeForce RTX 3050,40.89 cm (16.1 Inch),512.0,2025-02-02
SAMSUNG Galaxy Book413th1335U - (16 GB/512 GB /dows 11 Home) NP750XGJKG2IN ...,684.9875,16.0,Core i5,NP750XGJ-KG2IN / NP750XGJ-LG2IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
DELL i3 12th1215U - (8 GB/512 GB /dows 11 Home) Inspiron 3520 in and Light Lap...,427.375,8.0,Core i3,Inspiron 3520,DELL,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-02
DELL Inspiron 16 563013th1335U - (16 GB/512 GB /dows 11 Home) IN5630P8YRR001...,773.625,16.0,Core i5,Inspiron 5630,DELL,Intel Integrated Intel Iris Xe Graphics,40.64 cm (16 inch),512.0,2025-02-02
Lenovo V15 7 Octa7730U - (16 GB/512 GB /dows 11 Home) v15 G4 Business,498.7375,16.0,Ryzen 7 Octa Core,V series,Lenovo,AMD Radeon AMD Radeon™ Graphics,39.62 cm (15.6 inch),512.0,2025-02-02
Acer Aspire Lite 5 Hexa5625U - (16 GB/512 GB /dows 11 Home) AL1541 in and Lig...,418.625,16.0,Ryzen 5 Hexa Core,AL15-41,Acer,AMD Radeon AMD,39.62 cm (15.6 inch),512.0,2025-02-02
HP 15s i3 12th1215U - (8 GB/512 GB /dows 11 Home) 15sfy5003TU in and Light La...,437.375,8.0,Core i3,15s-fy5003TU,HP,Intel Integrated UHD,39.62 cm (15.6 inch),512.0,2025-02-02
Acer Swift Go 14AIUltra 5 125H - (16 GB/512 GB /dows 11 Home) SFG14...,999.875,16.0,Core Ultra 5,SFG14-73T,Acer,Intel Integrated Arc Graphics,35.56 cm (14 Inch),512.0,2025-02-02
"ASUS Vivobook 16X for Creator,12th12500H - (16 GB/512 GB /dows 11 Home/4 GB ...",749.875,16.0,Core i5,K3605ZF-RP258WS,ASUS,NVIDIA GeForce RTX 2050,40.64 cm (16 Inch),512.0,2025-02-02
MSI in 1512th12450H - (8 GB/512 GB /dows 11 Home/4 GB /NVIDIA GeFo...,612.375,8.0,Core i5,Thin 15 B12UCX-1696IN,MSI,NVIDIA GeForce RTX 2050,39.62 cm (15.6 Inch),512.0,2025-02-02
DELL i3 13th- (8 GB/512 GB /dows 11 Home) 3530 in and Light,467.5,8.0,Core i3,Inspiron 15,DELL,Intel Integrated Intel® UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-02
Lenovo IdeaPad 1 7 Octa5700U - (16 GB/512 GB /dows 11 Home) 15ALC7 in and Ligh...,528.75,16.0,Ryzen 7 Octa Core,15ALC7,Lenovo,AMD Radeon AMD,39.62 cm (15.6 inch),512.0,2025-02-02
Acer Aspire 3Celeron DualN4500 - (8 GB/256 GB /dows 11 Home) A32445 in and Light...,268.625,8.0,Celeron Dual Core,A324-45,Acer,Intel Integrated UHD,35.56 cm (14 Inch),256.0,2025-02-02
Acer Aspire 713th13420H - (16 GB/512 GB /dows 11 Home/4 GB /NVIDIA G...,724.875,16.0,Core i5,A715-79G,Acer,NVIDIA GeForce RTX 2050,39.62 cm (15.6 Inch),512.0,2025-02-02
Lenovo IdeaPad 1Celeron DualN4020 - (8 GB/512 GB /dows 11 Home) 14IGL7 in and Lig...,306.125,8.0,Celeron Dual Core,14IGL7,Lenovo,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-02
SAMSUNG Galaxy Book4 Metal i3 13th1315U - (8 GB/512 GB /dows 11 Home) NP750XGJL...,474.875,8.0,Core i3,NP750XGJ-LG4IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
ASUS Vivobook Go 15 5 Quad7520U - (8 GB/512 GB /dows 11 Home) E1504FANJ133WS | ...,474.875,8.0,Ryzen 5 Quad Core,E1504FA-NJ522WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-02
ASUS Vivobook Go 15 3 Quad7320U - (8 GB/512 GB /dows 11 Home) E1504FANJ322WS ...,399.75,8.0,Ryzen 3 Quad Core,E1504FA-NJ322WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-02
ASUS TUFA15 5 Hexa7535HS - (16 GB/512 GB /dows 11 Home/4 GB /NVI...,737.375,16.0,Ryzen 5 Hexa Core,FA506NC-HN083W,ASUS,NVIDIA GeForce RTX 3050,39.62 cm (15.6 Inch),512.0,2025-02-02
SAMSUNG Galaxy Book413th1335U - (16 GB/512 GB /dows 11 Home) NP750XGJKG2IN ...,684.9875,16.0,Core i5,NP750XGJ-KG2IN / NP750XGJ-LG2IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
Acer Chromebook Plus Google AI i3 N305 - (8 GB/256 GB /Chrome OS) CB5144H39T7 Chromebo...,249.875,8.0,Core i3,Chromebook Plus,Acer,Intel Integrated UHD,35.56 cm (14 Inch),256.0,2025-02-02
Acer Aspire 713th13420H - (16 GB/512 GB /dows 11 Home/4 GB /NVIDIA G...,724.875,16.0,Core i5,A715-79G,Acer,NVIDIA GeForce RTX 2050,39.62 cm (15.6 Inch),512.0,2025-02-02
HP Victus 1513th13420H - (16 GB/512 GB /dows 11 Home/6 GB /NVIDIA Ge...,918.7375,16.0,Core i5,15-fa1327TX,HP,NVIDIA GeForce RTX 3050,39.62 cm (15.6 inch),512.0,2025-02-02
ASUS TUFA15 7 Octa7435HS - (8 GB/512 GB /dows 11 Home/4 GB /NVID...,662.375,8.0,Ryzen 7 Octa Core,Gaming A15,ASUS,NVIDIA GeForce RTX 2050,39.62 cm (15.6 inch),512.0,2025-02-02
Acer Aspire 712th12450H - (16 GB/512 GB /dows 11 Home/4 GB /NVIDIA G...,674.875,16.0,Core i5,A715-76G,Acer,NVIDIA GeForce RTX 3050,39.62 cm (15.6 Inch),512.0,2025-02-02
ASUS TUFA15 7 Octa7435HS - (16 GB/512 GB /dows 11 Home/4 GB /NVI...,799.875,16.0,Ryzen 7 Octa Core,Gaming A15,ASUS,NVIDIA GeForce RTX 3050,39.62 cm (15.6 inch),512.0,2025-02-02
MSI Modern 1513th1355U - (8 GB/512 GB /dows 11 Home) Modern 15 B13M290IN ...,593.7375,8.0,Core i7,Modern 15 B13M-290IN,MSI,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
Lenovo V15 3 Quad7320U - (8 GB/512 GB /dows 11 Home) V15 G4 AMN 1 in and Light...,334.875,8.0,Ryzen 3 Quad Core,V15 G4,Lenovo,AMD Radeon AMD,39.62 cm (15.6 inch),512.0,2025-02-02
ASUS Vivobook 15 i3 13th1315U - (8 GB/512 GB /dows 11 Home) X1504VANJ320WS in...,474.875,8.0,Core i3,X1504VA-NJ320WS,ASUS,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-02
MSI Modern 1413th1335U - (8 GB/512 GB /dows 11 Home) Modern 14 C13M437IN ...,537.375,8.0,Core i5,Modern 14 C13M-437IN,MSI,Intel Integrated Iris Xe,35.56 cm (14 Inch),512.0,2025-02-02
ASUS Vivobook Go 15 OLED 5 Quad7520U - (8 GB/512 GB /dows 11 Home) E1504FALK521...,562.375,8.0,Ryzen 5 Quad Core,E1504FA-LK521WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-02
Lenovo IdeaPad Slim 3 i3 13th1305U - (8 GB/512 GB /dows 11 Home) 15IRU8 in and...,449.875,8.0,Core i3,15IRU8,Lenovo,Intel Integrated UHD,39.62 cm (15.6 inch),512.0,2025-02-02
Lenovo Ideapad12th12450H - (16 GB/512 GB /dows 11 Home/4 GB ) 15IAH8...,623.625,16.0,Core i5,IdeaPad Slim 3,Lenovo,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-02
SAMSUNG Galaxy Book4 Metal i3 13th1315U - (8 GB/512 GB /dows 11 Home) NP750XGJL...,474.875,8.0,Core i3,NP750XGJ-LG4IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
Infinix Y1 Plus NeoCeleron Quad11thN5100 - (4 GB/128 GB /dows 11 Home) XL30 ...,224.875,4.0,Celeron Quad Core,XL30,Infinix,Intel Integrated UHD,39.62 cm (15.6 Inch),128.0,2025-02-02
HPAthlon Dual- (8 GB/256 GB /dows 11 Home) 255,282.375,8.0,Athlon Dual Core,255 G8,HP,AMD Radeon AMD,39.62 cm (15.6 inch),256.0,2025-02-02
SAMSUNG Galaxy Book413th1335U - (16 GB/512 GB /dows 11 Home) NP750XGJKG2IN ...,684.9875,16.0,Core i5,NP750XGJ-KG2IN / NP750XGJ-LG2IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
ASUS Vivobook 1512th1235U - (8 GB/512 GB /dows 11 Home) X1502ZAEJ515WS in...,549.875,8.0,Core i5,X1502ZA-EJ515WS,ASUS,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
Acer Aspire 3 Backlit12th1235U - (8 GB/512 GB /dows 11 Home) A32451 in an...,537.375,8.0,Core i5,A324-51,Acer,Intel Integrated Intel Graphics,35.56 cm (14 Inch),512.0,2025-02-02
ASUS Vivobook Go 15 OLED 3 Quad7320U - (8 GB/512 GB /dows 11 Home) E1504FALK323...,462.375,8.0,Ryzen 3 Quad Core,E1504FA-LK323WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-02
MSI Modern 1412th1235U - (16 GB/512 GB /dows 11 Home) Modern 14 C12MO1212IN...,516.5,16.0,Core i5,Modern 14 C12MO,MSI,Intel Integrated Iris Xe,35.56 cm (14 inch),512.0,2025-02-02
HP 15 (2024) 3 Quad7320U - (8 GB/512 GB /dows 11 Home) 15fc0154AU in and Ligh...,387.4875,8.0,Ryzen 3 Quad Core,15-fc0154AU,HP,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-02
"ASUS Vivobook 16X for Creator,12th12500H - (16 GB/512 GB /dows 11 Home/4 GB ...",749.875,16.0,Core i5,K3605ZF-RP258WS,ASUS,NVIDIA GeForce RTX 2050,40.64 cm (16 Inch),512.0,2025-02-02
Lenovo IdeaPad Slim 312th12450H - (16 GB/512 GB /dows 11 Home) 14IAH8 in a...,673.625,16.0,Core i5,14IAH8,Lenovo,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-02
Acer Nitro V 7 Octa7735HS - (16 GB/512 GB /dows 11 Home/6 GB /NVIDIA GeF...,912.375,16.0,Ryzen 7 Octa Core,ANV15-41,Acer,NVIDIA GeForce RTX 3050,39.62 cm (15.6 Inch),512.0,2025-02-02
Acer Aspire 3 Backlit12th1235U - (16 GB/512 GB /dows 11 Home) A32451 in a...,562.375,16.0,Core i5,A324-51,Acer,Intel Integrated Intel Graphics,35.56 cm (14 Inch),512.0,2025-02-02
HP 15s i3 13th1315U - (8 GB/512 GB /dows 11 Home) 15fd0006TU in and Light Lap...,499.875,8.0,Core i3,15-fd0006TU,HP,Intel Integrated Integrated,39.62 cm (15.6 Inch),512.0,2025-02-02
SAMSUNG Galaxy Book4 Metal i3 13th1315U - (8 GB/512 GB /dows 11 Home) NP750XGJL...,474.875,8.0,Core i3,NP750XGJ-LG4IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
Acer Aspire Lite 5 Hexa5625U - (8 GB/512 GB /dows 11 Home) AL1541 in and Ligh...,460.0,8.0,Ryzen 5 Hexa Core,AL15-41,Acer,AMD Radeon AMD,39.62 cm (15.6 inch),512.0,2025-02-02
ASUS Vivobook S 1513th13900H - (16 GB/512 GB /dows 11 Home) K5504VABBN417WS...,924.875,16.0,Core i9,K5504VAB-BN417WS,ASUS,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
SAMSUNG Galaxy Book413th1335U - (16 GB/512 GB /dows 11 Home) NP750XGJKG2IN ...,684.9875,16.0,Core i5,NP750XGJ-KG2IN / NP750XGJ-LG2IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
Lenovo V1412th1235U - (16 GB/512 GB /dows 11 Home) V 14 in and Light Lapto...,467.375,16.0,Core i5,V14,Lenovo,Intel Integrated Intel,35.81 cm (14.1 inch),512.0,2025-02-02
HP 255 G10 (2024) 3 Quad7320U - (8 GB/512 GB /dows 11 Home) 250 G10 in and Lig...,321.25,8.0,Ryzen 3 Quad Core,255 G10,HP,AMD Radeon AMD RADEON,39.62 cm (15.6 inch),512.0,2025-02-02
Acer Aspire 312th1255U - (16 GB/512 GB /dows 11 Home) A32451 in and Light...,624.875,16.0,Core i7,A324-51,Acer,Intel Integrated Iris Xe,35.56 cm (14 Inch),512.0,2025-02-02
ASUS Vivobook 1512th1235U - (16 GB/512 GB /dows 11 Home) X1502ZAEJ545WS i...,587.375,16.0,Core i5,X1502ZA-EJ545WS,ASUS,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
ASUS Vivobook Go 15 OLED 3 Quad7320U - (8 GB/512 GB /dows 11 Home) E1504FALK323...,462.375,8.0,Ryzen 3 Quad Core,E1504FA-LK323WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-02
Acer Aspire 713th13420H - (16 GB/512 GB /dows 11 Home/4 GB /NVIDIA G...,724.875,16.0,Core i5,A715-79G,Acer,NVIDIA GeForce RTX 2050,39.62 cm (15.6 Inch),512.0,2025-02-02
Acer 3 Quad5300U - (16 GB/512 GB /dows 11 Home) AL1541 in and Light,399.875,16.0,Ryzen 3 Quad Core,AL15-41,Acer,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-02
Acer Aspire Lite i3 12th1215U - (8 GB/512 GB /dows 11 Home) AL1552 in and Lig...,399.875,8.0,Core i3,Aspire Lite,Acer,Intel Integrated Intel HD,39.62 cm (15.6 inch),512.0,2025-02-02
Acer Nitro V 7 Octa7735HS - (16 GB/512 GB /dows 11 Home/6 GB /NVIDIA GeF...,1037.375,16.0,Ryzen 7 Octa Core,ANV15-41,Acer,NVIDIA GeForce RTX 4050,39.62 cm (15.6 Inch),512.0,2025-02-02
"ASUS Vivobook 16X for Creator,12th12700H - (16 GB/512 GB /dows 11 Home/4 GB ...",887.375,16.0,Core i7,K3605ZC-RP628WS,ASUS,NVIDIA GeForce RTX 3050,40.64 cm (16 Inch),512.0,2025-02-02
Lenovo IdeaPad Slim 3 i3 12th1215U - (8 GB/512 GB /dows 11 Home) 15IAU7 in and...,427.5,8.0,Core i3,15IAU7,Lenovo,Intel Integrated UHD,39.62 cm (15.6 inch),512.0,2025-02-02
ZEBRONICSSeries Z12th1235U - (8 GB/512 GB /dows 11 Home) ZEBNBC 4S i...,374.875,8.0,Core i5,ZEB-NBC 4S,ZEBRONICS,Intel Integrated UHD,39.62 cm (15.6 inch),512.0,2025-02-02
SAMSUNG Galaxy Book4 Metal i3 13th1315U - (8 GB/512 GB /dows 11 Home) NP750XGJL...,474.875,8.0,Core i3,NP750XGJ-LG4IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
Acer Aspire 3 Backlit 5 Hexa7430U - (16 GB/512 GB /dows 11 Home) A32542 in an...,487.375,16.0,Ryzen 5 Hexa Core,A325-42,Acer,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-02
ZEBRONICSSeries Z12th1235U - (8 GB/512 GB /dows 11 Home) ZEBNBC 4S i...,374.875,8.0,Core i5,ZEB-NBC 4S,ZEBRONICS,Intel Integrated UHD,39.62 cm (15.6 inch),512.0,2025-02-02
DELL Latitude 3540 (2024) i3 12th1215U - (8 GB/512 GB /dows 11 ) Latitude 354...,393.625,8.0,Core i3,Latitude 3540,DELL,Intel Integrated UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-02
omson NEOSeries12th1235U - (8 GB/512 GB /dows 11 Home) INN15I in ...,349.875,8.0,Core i5,IN-N15I,Thomson,Intel Integrated Iris Xe,39.62 cm (15.6 inch),512.0,2025-02-02
SAMSUNG Galaxy Book413th1335U - (16 GB/512 GB /dows 11 Home) NP750XGJKG2IN ...,684.9875,16.0,Core i5,NP750XGJ-KG2IN / NP750XGJ-LG2IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
ASUS Vivobook Go 15 OLED 3 Quad7320U - (8 GB/512 GB /dows 11 Home) E1504FALK323...,462.375,8.0,Ryzen 3 Quad Core,E1504FA-LK323WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-02
Lenovo IdeaPad Slim 312th12450H - (8 GB/512 GB /dows 11 Home) 15IAH8 in an...,644.875,8.0,Core i5,15IAH8,Lenovo,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-02
MSI Modern 1513th1355U - (8 GB/512 GB /dows 11 Home) Modern 15 B13M290IN ...,593.7375,8.0,Core i7,Modern 15 B13M-290IN,MSI,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
"DELL Inspiron 15 3520 with Backlit ,12th- (16 GB/512 GB /dow...",614.875,16.0,Core i5,Inspiron 3520,DELL,Intel Integrated Intel UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-02
ASUS TUFA15 5 Hexa7535HS - (8 GB/512 GB /dows 11 /4 GB /NVIDI...,674.875,8.0,Ryzen 5 Hexa Core,FA506NF-HN578W,ASUS,NVIDIA GeForce RTX 2050,39.62 cm (15.6 Inch),512.0,2025-02-02
DELL MSO'2021 i3 12th1215U - (8 GB/512 GB /dows 11 Home)Inspiron 15...,424.75,8.0,Core i3,Inspiron 3520,DELL,Intel Integrated UHD,39.37 cm (15.5 inch),512.0,2025-02-02
Acer Chromebook Plus Google AI i3 13th1315U - (8 GB/256 GB /Chrome OS) CB5152H34Y...,312.375,8.0,Core i3,Chromebook Plus,Acer,Intel Integrated UHD,39.62 cm (15.6 Inch),256.0,2025-02-02
ASUS TUFF15 - AI Powered 11th11260H - (8 GB/512 GB /dows 11 Ho...,599.875,8.0,Core i5,Gaming F15,ASUS,NVIDIA GeForce RTX 2050,39.62 cm (15.6 Inch),512.0,2025-02-02
Acer Aspire 3 Backlit12th1235U - (16 GB/512 GB /dows 11 Home) A32451 in a...,562.375,16.0,Core i5,A324-51,Acer,Intel Integrated Intel Graphics,35.56 cm (14 Inch),512.0,2025-02-02
MSI Modern 1413th1335U - (8 GB/512 GB /dows 11 Home) Modern 14 C13M437IN ...,537.375,8.0,Core i5,Modern 14 C13M-437IN,MSI,Intel Integrated Iris Xe,35.56 cm (14 Inch),512.0,2025-02-02
DELL Latitude 3540 (2024) i3 12th1215U - (16 GB/512 GB /dows 11 ) Latitude 35...,418.625,16.0,Core i3,Latitude 3540,DELL,Intel Integrated UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-02
ZEBRONICSSeries Z12th1235U - (8 GB/512 GB /dows 11 Home) ZEBNBC 4S i...,374.875,8.0,Core i5,ZEB-NBC 4S,ZEBRONICS,Intel Integrated UHD,39.62 cm (15.6 inch),512.0,2025-02-02
ASUS Vivobook Go 15 OLED 5 Quad7520U - (16 GB/512 GB /dows 11 Home) E1504FALK54...,624.875,16.0,Ryzen 5 Quad Core,E1504FA-LK541WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-02
ASUS Vivobook S 1513th13900H - (16 GB/512 GB /dows 11 Home) K5504VABBN417WS...,924.875,16.0,Core i9,K5504VAB-BN417WS,ASUS,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
SAMSUNG Galaxy Book4 Metal i3 13th1315U - (8 GB/512 GB /dows 11 Home) NP750XGJL...,474.875,8.0,Core i3,NP750XGJ-LG4IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
HPAthlon Dual3050U - (8 GB/512 GB /dows 11 Home) 15seq1559AU in and Light,321.125,8.0,Athlon Dual Core,15s- eq1559AU,HP,AMD Radeon AMD,39.62 cm (15.6 inch),512.0,2025-02-02
Lenovo IdeaPad Slim 312th12450H - (16 GB/512 GB /dows 11 Home) 14IAH8 in a...,673.625,16.0,Core i5,14IAH8,Lenovo,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-02
SAMSUNG Galaxy Book413th1335U - (16 GB/512 GB /dows 11 Home) NP750XGJKG2IN ...,684.9875,16.0,Core i5,NP750XGJ-KG2IN / NP750XGJ-LG2IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-02
Acer Aspire 3 Backlit12th1235U - (16 GB/512 GB /dows 11 Home) A32451 in a...,562.375,16.0,Core i5,A324-51,Acer,Intel Integrated Intel Graphics,35.56 cm (14 Inch),512.0,2025-02-02
MSI Modern 14 5 Hexa7530U - (8 GB/512 GB /dows 11 Home) Modern 14 C7M063IN in...,462.375,8.0,Ryzen 5 Hexa Core,Modern 14 C7M-063IN,MSI,AMD Radeon AMD,35.56 cm (14 Inch),512.0,2025-02-02
HP 15s 3 Quad5300U - (8 GB/512 GB /dows 11 Home) 15seq2143au in and Light Lap...,393.625,8.0,Ryzen 3 Quad Core,15s-eq2143au,HP,AMD Radeon AMD,39.62 cm (15.6 inch),512.0,2025-02-02
MSI in 1512th12450H - (16 GB/512 GB /dows 11 Home/4 GB /NVIDIA GeF...,687.375,16.0,Core i5,Thin 15 B12UC-1692IN,MSI,NVIDIA GeForce RTX 3050,39.62 cm (15.6 Inch),512.0,2025-02-02
MSI in 1513th13620H - (16 GB/512 GB /dows 11 Home/4 GB /NVIDIA GeF...,812.375,16.0,Core i7,Thin 15 B13UCX-1806IN,MSI,NVIDIA GeForce RTX 2050,39.62 cm (15.6 Inch),512.0,2025-02-02
HP 255 G10 5 Quad7520U UPTO- (8 GB/512 GB /dows 11 Home) 255 G10 in an...,387.4875,8.0,Ryzen 5 Quad Core,255 G10,HP,AMD Radeon AMD Radeon AMD Radeon™ Graphics,39.62 cm (15.6 inch),512.0,2025-02-02
"ASUS Vivobook 16X for Creator,12th12500H - (16 GB/512 GB /dows 11 Home/4 GB ...",749.875,16.0,Core i5,K3605ZF-RP258WS,ASUS,NVIDIA GeForce RTX 2050,40.64 cm (16 Inch),512.0,2025-02-02
