title,price,image_url,product_url,Brand,Aspect Ratio,ASIN,Standing screen display size,Country of Origin,Item Weight,Series,Item Dimensions  LxWxH,Item model number,Screen Resolution,Package Weight,Screen Size,Batteries required,Product Dimensions,Screen Surface Description,Is Discontinued By Manufacturer,Item dimensions L x W x H,Resolution,Date First Available,Manufacturer,Max Screen Resolution,Color,Image brightness,Total Usb Ports,Voltage
KOORUI Monitor 22 Inch Computer Monitor FHD 1080P 75Hz PC Monitor VA Panel 30001 ...,"MAD 1013                                                                        
                                                                            1559",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JS6O5AEJO-koorui-24-inch-computer-monitor-full-hd-1920-x-1080p-va-display-75hz-3000-1-contrast-ratio-with-hdmi-vga-frameless-75-x-75-mm-vesa-mountable,,,,,,,,,,,,,,,,,,,,,,,,,
KOORUI Monitor 22 Inch Computer Monitor FHD 1080P 75Hz PC Monitor VA Panel 30001 ...,"MAD 1013                                                                        
                                                                            1559",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/EQJSF6AY8-koorui-22-inch-computer-gaming-monitor-fhd-1080p-desktop-display-with-2-speakers-100hz-ultra-thin-bezel-eye-care-ergonomic-tilt-hdmi-vga-ports-led,,,,,,,,,,,,,,,,,,,,,,,,,
KOORUI Monitor 22 Inch Computer Monitor FHD 1080P 75Hz PC Monitor VA Panel 30001 ...,"MAD 1013                                                                        
                                                                            1559",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/BI8IRXA6S-koorui-24-full-hd-ips-monitor-computer-monitors-75hz-5ms-1080p-3-sided-frameless-ultra-slim-design-hdmi-vga-vesa-compatible-eye,SANSUI,16:9,,‎22 Inches,‎China,‎6.78 pounds,‎ES-22X3,‎6.8 x 19.39 x 14.14 inches,‎EEMONITORIPS1K75HZ22V4,‎1920x1080,,22 Inches (55.9 cm),,‎6.8 x 19.39 x 14.14 inches,Glossy,,,2K DCI 1080p,2024-02-02 20:27:49,‎SANSUI,‎1920 x 1080,‎Black,,,
"Dell 27 inch Monitor, P2722H Full HD 1080p Computer Monitor, Anti Glare 169 IPS ...",MAD 3732,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/FSVXWOZ20-dell-27-inch-monitor-p2722h-full-hd-1080p-computer-monitor-anti-glare-16-9-ips-computer-screen-lcd-60hz-monitor-with-slim-design-for-home-and,SANSUI,16:9,,‎22 Inches,‎China,‎6.78 pounds,‎ES-22X3,‎6.8 x 19.39 x 14.14 inches,‎EEMONITORIPS1K75HZ22V4,‎1920x1080,,22 Inches (55.9 cm),,‎6.8 x 19.39 x 14.14 inches,Glossy,,,2K DCI 1080p,2024-02-02 20:27:49,‎SANSUI,‎1920 x 1080,‎Black,,,
"STGAubron 24 Inch Gaming Computer Monitor, FHD 1920 x 1080P Office PC LED Display, ...",MAD 1423,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/CDCNMZESO-stgaubron-24-inch-gaming-computer-monitor-fhd-1920-x-1080p-office-pc-led-display-99-srgb-hdmi-vga-vesa-ergonomic-tilt-adjustment,SANSUI,16:9,,‎22 Inches,‎China,‎6.78 pounds,‎ES-22X3,‎6.8 x 19.39 x 14.14 inches,‎EEMONITORIPS1K75HZ22V4,‎1920x1080,,22 Inches (55.9 cm),,‎6.8 x 19.39 x 14.14 inches,Glossy,,,2K DCI 1080p,2024-02-02 20:27:49,‎SANSUI,‎1920 x 1080,‎Black,,,
LYMAX Computer Monitor Led Lights PC Monitor LED Bar Eye Caring Monitor Led Lights ...,"MAD 548                                                                        
                                                                            740",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4LMKEZ7WQ-raone-monitor-light-bar-flat-curved-monitor-screen-led-lights-eye-caring-pc-monitor-led-bar-space-saving-desk-lamp-with-auto-dimming-for,SANSUI,16:9,,‎22 Inches,‎China,‎6.78 pounds,‎ES-22X3,‎6.8 x 19.39 x 14.14 inches,‎EEMONITORIPS1K75HZ22V4,‎1920x1080,,22 Inches (55.9 cm),,‎6.8 x 19.39 x 14.14 inches,Glossy,,,2K DCI 1080p,2024-02-02 20:27:49,‎SANSUI,‎1920 x 1080,‎Black,,,
"24 Inch QHD Computer Monitor,1440P Ultrawide LED Monitor,75Hz IPS Display with ...",MAD 1956,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/FBJF50WUY-luckyfive-27-inch-2560-x-1440-165hz-hdr-gaming-monitor-with-built-in-speakers-vesa-mountable-tilt-adjustment-supports-hdmi-and-dp,CRUA,16:9,B0B17J144M,23.8 Inches (60.5 cm),,8.13 pounds (3.69 kg),,,CR240CM,,21 Pound,23.8 Inches (60.5 cm),,0.39 x 21.06 x 12.8 inches (1 x 53.5 x 32.5 cm),Curved,No,,1920 x 1080 Pixels,"May 13, 2022",CRUA,,,250 Candela,,120 Volts (AC)
"CRUA 24"" Curved Monitor, FHD1920 1080P 100HZ, 99% sRGB Color Gamut Computer ...","MAD 1149                                                                        
                                                                            1696",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/54BAZ1EBQ-crua-24-inch-curved-gaming-monitor-fhd-1920-1080p-75hz-led-ultra-thin-pc-computer-monitor-for-home-office-frameless-with,CRUA,16:9,B0B17J144M,23.8 Inches (60.5 cm),,8.13 pounds (3.69 kg),,,CR240CM,,21 Pound,23.8 Inches (60.5 cm),,0.39 x 21.06 x 12.8 inches (1 x 53.5 x 32.5 cm),Curved,No,,1920 x 1080 Pixels,"May 13, 2022",CRUA,,,250 Candela,,120 Volts (AC)
"SANSUI Computer Monitor 22 inch Monitor IPS FHD 1080P PC Monitor 75Hz, Monitors ...",MAD 999,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IKERR1IMC-sansui-monitor-22-inch-ips-75hz-fhd-1080p-hdmi-vga-ports-computer-monitor-ultra-thin-tilt-adjustable-vesa-mount-with-178-wide-viewing-angle,CRUA,16:9,B0B17J144M,23.8 Inches (60.5 cm),,8.13 pounds (3.69 kg),,,CR240CM,,21 Pound,23.8 Inches (60.5 cm),,0.39 x 21.06 x 12.8 inches (1 x 53.5 x 32.5 cm),Curved,No,,1920 x 1080 Pixels,"May 13, 2022",CRUA,,,250 Candela,,120 Volts (AC)
"Touchscreen Portable Monitor, 15.6 Inch Small PC Monitor with HDMI USB C, IPS ...",MAD 1423,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JMCMOB6QC-touchscreen-portable-monitor-15-6-inch-small-pc-monitor-with-hdmi-usb-c-ips-screen-hdr-400cd-m-fhd-1080p-99-srgb-led-monitor-for-laptop-mac,CRUA,16:9,B0B17J144M,23.8 Inches (60.5 cm),,8.13 pounds (3.69 kg),,,CR240CM,,21 Pound,23.8 Inches (60.5 cm),,0.39 x 21.06 x 12.8 inches (1 x 53.5 x 32.5 cm),Curved,No,,1920 x 1080 Pixels,"May 13, 2022",CRUA,,,250 Candela,,120 Volts (AC)
"KTC 27 Inch QHD Computer Monitor, 2K 100Hz IPS Gaming Monitor, 1440P Frameless Eye ...","MAD 1559                                                                        
                                                                            1969",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/LTCCCQGH6-ktc-27-inch-qhd-computer-monitor-2k-100hz-ips-gaming-monitor-1440p-frameless-eye-care-pc-office-monitor-with-hdmi-dp-freesync-g-sync-hdr10,,,,,,,,,,,,,,,,,,,,,,,,,
"Touchscreen Monitor 27 Inch 2K 100Hz Gaming Monitor, QHD 2560x1440 IPS PC Monitor, ...",MAD 4429,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MX7RT2XW0-touchscreen-monitor-27-inch-2k-100hz-gaming-monitor-qhd-2560x1440-ips-pc-monitor,luckyfive,16:9,B0D9B4185H,27 Inches (68.6 cm),China,10.9 pounds (4.94 kg),,,M-27LKF1Q165,,,27 Inches (68.6 cm),,5.12 x 26.97 x 17.52 inches (13 x 68.5 x 44.5 cm),有光澤,,,1920 x 1080,"July 12, 2024",luckyfive,,,,1,
Touchscreen Monitor 21.5 Inch Full HD 1920x1080P 10-Point Multi Touch Screen PC ...,MAD 2516,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/LSG07X7FE-touchscreen-monitor-21-5-inch-full-hd-1920x1080p-10-point-multi-touch-screen-pc-monitor-with-hdmi-vga-usb-port-built-in-speakers,luckyfive,16:9,B0D9B4185H,27 Inches (68.6 cm),China,10.9 pounds (4.94 kg),,,M-27LKF1Q165,,,27 Inches (68.6 cm),,5.12 x 26.97 x 17.52 inches (13 x 68.5 x 44.5 cm),有光澤,,,1920 x 1080,"July 12, 2024",luckyfive,,,,1,
Touchscreen Monitor 21.5 Inch Full HD 1920x1080P 10-Point Multi Touch Screen PC ...,MAD 2516,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4JOUW4488-computer-monitor-pisichen-22-inch-pc-monitor-hd-1600x1050-gaming-monitor-with-hdmi-vga-interface-5ms-75hz-brightness-250-cd-m-computer,luckyfive,16:9,B0D9B4185H,27 Inches (68.6 cm),China,10.9 pounds (4.94 kg),,,M-27LKF1Q165,,,27 Inches (68.6 cm),,5.12 x 26.97 x 17.52 inches (13 x 68.5 x 44.5 cm),有光澤,,,1920 x 1080,"July 12, 2024",luckyfive,,,,1,
Touchscreen Monitor 21.5 Inch Full HD 1920x1080P 10-Point Multi Touch Screen PC ...,MAD 2516,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IQ0YGDJ2I-pisichen-touchscreen-monitor-21-5-inch-full-hd-1920x1080p-10-point-multi-touch-screen-pc-monitor-with-hdmi-vga-usb-port-built-in-speakers,luckyfive,16:9,B0D9B4185H,27 Inches (68.6 cm),China,10.9 pounds (4.94 kg),,,M-27LKF1Q165,,,27 Inches (68.6 cm),,5.12 x 26.97 x 17.52 inches (13 x 68.5 x 44.5 cm),有光澤,,,1920 x 1080,"July 12, 2024",luckyfive,,,,1,
"Dell 24 inch Monitor, P2422H Full HD 1080p Computer Monitor, Anti Glare 169 IPS ...",MAD 3131,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/G6LAOBGJG-dell-24-inch-monitor-p2422h-full-hd-1080p-computer-monitor-anti-glare-16-9-ips-computer-screen-lcd-60hz-monitor-with-slim-design-for-home-and,Gawfolk,16:9,B0CNGW5P7Z,32 Inches (81.3 cm),,14.96 pounds (6.79 kg),,,GF320E,,,32 Inches (81.3 cm),,0.5 x 27.8 x 20 inches (1.3 x 70.6 x 50.8 cm),Matte,No,,2560 x 1440 Pixels,"November 16, 2023",Gawfolk,,,220 Candela,,12 Volts
"24 Inch QHD Computer Monitor,1440P Ultrawide LED Monitor,75Hz IPS Display with ...",MAD 1956,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/FBJ81TCNK-luckyfive-27-inch-2k-165hz-curved-gaming-monitor-with-built-in-speakers-1ms-response-time-wide-viewing-angle-vesa-mountable-support-hdmi-and,Gawfolk,16:9,B0CNGW5P7Z,32 Inches (81.3 cm),,14.96 pounds (6.79 kg),,,GF320E,,,32 Inches (81.3 cm),,0.5 x 27.8 x 20 inches (1.3 x 70.6 x 50.8 cm),Matte,No,,2560 x 1440 Pixels,"November 16, 2023",Gawfolk,,,220 Candela,,12 Volts
"CRUA 24 Inch Curved Monitor, FHD1920 1080P 100HZ 99% sRGB Computer Monitors, Narrow ...","MAD 1277                                                                        
                                                                            1505",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/FLX8LQE72-crua-24-inch-curved-monitor-fhd-1920-1080p-75hz-99-srgb-computer-monitor-led-filter-blue-light-178-wide-viewing-angle-pc-monitors-for-home,Gawfolk,16:9,B0CNGW5P7Z,32 Inches (81.3 cm),,14.96 pounds (6.79 kg),,,GF320E,,,32 Inches (81.3 cm),,0.5 x 27.8 x 20 inches (1.3 x 70.6 x 50.8 cm),Matte,No,,2560 x 1440 Pixels,"November 16, 2023",Gawfolk,,,220 Candela,,12 Volts
KOORUI 24-inch Computer Monitor Full HD 1920 x 1080p 75Hz VA Display 30001 Contrast ...,"MAD 1559                                                                        
                                                                            2120",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4SI7XHRB2-koorui-24-inch-business-computer-monitor-full-hd-1920-x-1080p-va-display-75hz-3000-1-contrast-ratio-with-hdmi-vga-frameless-75-x-75-mm-vesa,Gawfolk,16:9,B0CNGW5P7Z,32 Inches (81.3 cm),,14.96 pounds (6.79 kg),,,GF320E,,,32 Inches (81.3 cm),,0.5 x 27.8 x 20 inches (1.3 x 70.6 x 50.8 cm),Matte,No,,2560 x 1440 Pixels,"November 16, 2023",Gawfolk,,,220 Candela,,12 Volts
Monitor 32 inch Computer Monitor QHD 2560 x 1440 2K 1500R Curved Computer Monitors ...,"MAD 2243                                                                        
                                                                            2762",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IEIA4O3JS-gawfolk-32-inch-computer-monitor-qhd-2560x1440p-2k-75hz-curved-monitor-va-display-hdmi-x-1-dp-port-x1-audio-port-office-monitor-with-low-blue,Gawfolk,16:9,B0CNGW5P7Z,32 Inches (81.3 cm),,14.96 pounds (6.79 kg),,,GF320E,,,32 Inches (81.3 cm),,0.5 x 27.8 x 20 inches (1.3 x 70.6 x 50.8 cm),Matte,No,,2560 x 1440 Pixels,"November 16, 2023",Gawfolk,,,220 Candela,,12 Volts
"23.8 Inch PC Gaming Monitor QHD 2560x1440 2K 100Hz, 2ms, Built-in Speakers, HDR, ...","MAD 1559                                                                        
                                                                            1653",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/8XWFCJWRG-prechen-27-computer-monitor-business-monitor-3-sided-frameless-ips-screen-fhd-1920x1080-led-desktop-monitor-with-hdmi-vga-interface,Prechen,16:9,B0DDSZF9H6,23.8 Inches (60.5 cm),China,10.08 pounds (4.57 kg),,,HD-238,,,23.8 Inches (60.5 cm),,0.59 x 20.8 x 12.9 inches (1.5 x 52.8 x 32.8 cm),Matte,,,2560 x 1440,"August 21, 2024","Shenzhen Kenowa Electronics Co., LTD",,,,,
"24.5 Inch Gaming Monitor 180Hz, Fast IPS FHD 1080P Computer Monitor, 1ms, Adaptive ...","MAD 1423                                                                        
                                                                            1559",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/M0ODDYSY0-24-5-inch-gaming-monitor-180hz-fast-ips-fhd-1080p-computer-monitor-1ms-adaptive-sync-hdr10-118-srgb-frameless-hdmi-2-0-displayport-1-4-vesa,Prechen,16:9,B0DDSZF9H6,23.8 Inches (60.5 cm),China,10.08 pounds (4.57 kg),,,HD-238,,,23.8 Inches (60.5 cm),,0.59 x 20.8 x 12.9 inches (1.5 x 52.8 x 32.8 cm),Matte,,,2560 x 1440,"August 21, 2024","Shenzhen Kenowa Electronics Co., LTD",,,,,
"20"" PC Monitor 169 1600x900 Kitchen Monitor, LED Monitor Build in Speaker, 5Ms, 60 ...",MAD 1340,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4RLDNUGMW-thinlerain-20-inch-pc-monitor-16-9-1600x900-kitchen-monitor-cctv-monitor-build-in-speaker-5ms-60-hz-vesa-mountable-with-vga-hdmi-av-bnc-usb,Prechen,16:9,B0DDSZF9H6,23.8 Inches (60.5 cm),China,10.08 pounds (4.57 kg),,,HD-238,,,23.8 Inches (60.5 cm),,0.59 x 20.8 x 12.9 inches (1.5 x 52.8 x 32.8 cm),Matte,,,2560 x 1440,"August 21, 2024","Shenzhen Kenowa Electronics Co., LTD",,,,,
14'' 4K UHD IPS 3840x1100 Stretched Bar Touch Screen Display Monitor for Laptop ...,MAD 3472,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/8RBB2FPAG-wisecoco-14-inch-uhd-ips-3840x1100-touch-screen-stretched-bar-lcd-monitor-mini-hdmi-lcd-display-for-cellphone-laptop-tv-xbox-game-ps3-4-5-os-windows,Prechen,16:9,B0DDSZF9H6,23.8 Inches (60.5 cm),China,10.08 pounds (4.57 kg),,,HD-238,,,23.8 Inches (60.5 cm),,0.59 x 20.8 x 12.9 inches (1.5 x 52.8 x 32.8 cm),Matte,,,2560 x 1440,"August 21, 2024","Shenzhen Kenowa Electronics Co., LTD",,,,,
"23.8 Inch PC Gaming Monitor QHD 2560x1440 2K 100Hz, 2ms, Built-in Speakers, HDR, ...","MAD 1423                                                                        
                                                                            1653",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MEAR59BBI-23-8-inch-pc-gaming-monitor-qhd-2560x1440-2k-100hz-2ms-built-in-speakers-hdr-99-srgb-ips-led-computer-screen-with-hdmi-dp-ports-amd-freesync,,,,,,,,,,,,,,,,,,,,,,,,,
Acer 23.8  Full HD 1920 x 1080 IPS Zero Frame Home Office Computer Monitor - 178  ...,MAD 2502,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/BM64C8848-acer-23-8-full-hd-1920-x-1080-ips-zero-frame-home-office-computer-monitor-178-wide-view-angle-tilt-compatible-hdmi-vga-port,ZZA,4:3,B0DM1F3BBM,34,China,15.92 pounds (7.22 kg),,,Z34G,,,34,,36 x 17 x 6 inches (91.4 x 43.2 x 15.2 cm),Matte,,,3440 x 1440 Pixels,"November 5, 2024","Jetta (Shenzhen) E-commerce Co.., Ltd.",,,,,
"SPEKZ 24 Inch Computer Monitor, FHD PC Monitors 1920 x 1080p IPS Display 75Hz, ...",MAD 1013,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/7ZMJONGKS-spekz-24-professional-thin-75hz-1080-led-monitor-hdmi-vga-build-in-speakers-abyss-black-em-024,ZZA,4:3,B0DM1F3BBM,34,China,15.92 pounds (7.22 kg),,,Z34G,,,34,,36 x 17 x 6 inches (91.4 x 43.2 x 15.2 cm),Matte,,,3440 x 1440 Pixels,"November 5, 2024","Jetta (Shenzhen) E-commerce Co.., Ltd.",,,,,
ZZA Gaming Monitor 27 Inch Curved 180Hz| 165Hz|144Hz|1ms| Computer Monitor ...,"MAD 1969                                                                        
                                                                            2243",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MQT30C38E-zza-34-inch-curved-gaming-monitor-freesync-g-sync-hdr10-122-srgb-dp-hdmi-vesa-mount-compatible-wqhd-monitor-3440-x-1440-r1500-up-to165hz,ZZA,4:3,B0DM1F3BBM,34,China,15.92 pounds (7.22 kg),,,Z34G,,,34,,36 x 17 x 6 inches (91.4 x 43.2 x 15.2 cm),Matte,,,3440 x 1440 Pixels,"November 5, 2024","Jetta (Shenzhen) E-commerce Co.., Ltd.",,,,,
"Monitor Light Bar with Remote Control, USB Computer Monitor Lamp, Eye-Care Screen ...",MAD 466,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IJUKEBVL0-computer-monitor-lamp-screen-monitor-light-bar-for-eye-caring-e-reading-led-task-lamp-touch-control-no-screen-glare-space-saving-home-office-desk,ZZA,4:3,B0DM1F3BBM,34,China,15.92 pounds (7.22 kg),,,Z34G,,,34,,36 x 17 x 6 inches (91.4 x 43.2 x 15.2 cm),Matte,,,3440 x 1440 Pixels,"November 5, 2024","Jetta (Shenzhen) E-commerce Co.., Ltd.",,,,,
